,node_id,swc_type,x,y,z,r,parent,type
0,1,1,324798.78,220276.19,269615.06,1319,-1,
1,2,6,298306.1,205132.88,213354.16,0,4,
2,4,5,298456.1,205105.92,213356.9,307,460,
3,218,6,303920.75,203270.05,191738.77,68,270,
4,247,6,304505.03,203099.97,192776.81,87,270,
5,257,6,305226.22,202076.67,192679.44,64,270,
6,266,6,305404.2,201778.34,192070.03,108,273,
7,270,5,304640.22,202472.03,192301.12,385,273,
8,273,5,304848.44,202340.3,192232.14,337,348,
9,289,6,304887.16,209405.22,189403.12,72,513,post
10,306,6,305169.5,204104.25,189919.4,49,404,
11,319,6,305309.8,203385.52,192722.66,296,451,post
12,325,6,305625.12,201789.89,190272.05,143,348,
13,348,5,305615.3,202169.39,190498.34,215,457,
14,350,6,306109.12,201932.39,192676.48,86,451,
15,354,6,305892.8,205716.81,192160.6,92,386,
16,367,5,306094.47,205953.92,190809.31,168,416,
17,373,6,305837.38,206108.44,190748.22,0,367,
18,386,5,306061.88,204778.64,192078.3,307,367,pre
19,404,5,306199.62,203984.0,190206.12,339,416,post
20,409,5,306393.53,203839.19,190258.48,349,404,
21,416,5,306068.44,206060.69,190443.11,331,466,post
22,417,6,306050.72,207150.8,190182.2,0,466,
23,430,6,306646.8,202519.22,193000.53,74,441,
24,441,5,306500.62,203147.23,193228.36,488,386,
25,448,6,306110.94,206851.52,187927.53,133,513,
26,449,6,306453.44,203067.36,193503.38,211,441,
27,451,5,305789.72,203086.45,192798.05,206,441,
28,457,5,306568.22,202990.9,190165.11,451,409,pre
29,457,5,306568.22,202990.9,190165.11,451,409,pre
30,460,5,306568.6,200582.56,196101.22,642,1631,
31,466,5,306384.2,206649.17,190156.78,370,541,
32,479,6,307153.38,203528.95,189937.73,104,409,
33,483,6,306848.3,202834.95,189341.25,0,457,
34,507,6,306885.47,211139.48,186369.62,43,737,
35,510,6,306915.56,208439.75,187606.34,90,663,
36,513,5,307098.72,207055.0,187845.05,222,709,
37,541,5,307272.25,206025.36,189458.64,389,709,
38,555,6,307330.7,202977.4,187984.14,0,608,
39,566,6,307505.6,203957.55,188644.5,59,589,
40,589,5,307469.47,203657.52,188270.2,240,770,
41,608,5,307803.9,203202.4,188047.88,226,589,
42,626,6,307558.12,198820.47,193921.33,84,727,
43,642,6,308043.1,201323.97,188830.48,0,649,
44,649,5,307853.2,201327.98,189051.81,226,706,
45,662,6,307628.6,208323.83,186145.9,0,872,
46,663,5,307878.16,207785.56,187374.89,283,800,
47,670,6,308256.1,199965.86,188817.0,94,649,
48,671,6,307790.03,209093.08,184606.86,0,737,
49,681,5,308368.4,202854.94,189579.62,552,541,
50,688,6,308075.44,209378.47,187669.47,49,663,
51,706,5,308295.12,201769.84,189231.31,240,681,
52,709,5,307385.62,206126.34,188895.4,375,728,
53,712,5,308785.3,205650.2,187527.95,655,728,pre
54,727,5,308416.44,198603.84,193582.39,168,793,
55,728,5,308379.6,205749.66,187913.83,831,770,
56,737,5,308229.88,210129.61,184957.64,157,767,
57,750,5,308836.78,202749.52,189293.16,472,681,pre
58,760,5,308624.47,203594.55,191705.53,371,460,
59,766,6,308714.25,198121.55,194021.28,81,727,
60,767,5,308397.56,210091.77,185119.31,169,834,
61,768,6,309235.3,203738.8,191692.95,0,760,
62,770,5,308392.12,205625.5,187933.58,768,818,
63,778,6,308890.66,201605.92,191388.38,0,970,
64,784,6,308755.6,209372.1,184269.72,89,834,
65,793,5,308636.06,198975.16,192867.33,141,1051,
66,799,5,309683.53,204994.02,187076.97,206,712,
67,800,5,308785.3,205849.23,187234.95,487,712,
68,809,6,309021.22,209905.62,185570.22,118,767,
69,815,6,309332.03,202662.53,189809.78,92,750,
70,816,5,308995.12,202388.02,189075.97,353,750,pre
71,818,5,308735.4,205487.61,188193.31,666,760,
72,832,5,309112.53,200971.45,189147.1,267,706,post
73,834,5,308789.03,209587.08,184775.23,173,872,
74,843,6,308934.84,202367.8,188737.48,0,816,post
75,854,6,309117.44,200040.89,189167.4,74,832,
76,859,5,309219.34,202095.22,187866.06,210,608,
77,867,6,309568.44,201197.23,189040.72,0,832,
78,870,6,309072.6,198027.89,191039.33,0,1008,
79,872,5,308819.88,208237.53,185635.1,359,883,post
80,879,6,309055.94,208199.55,184912.78,0,883,
81,883,5,309065.9,208304.2,185670.3,401,923,post
82,896,6,309467.88,204018.3,188737.48,0,818,
83,919,6,309051.75,208790.97,186268.55,72,883,
84,923,5,309476.03,207731.16,185506.72,272,800,
85,943,5,309944.0,201909.53,189208.6,246,816,
86,958,6,309567.8,202727.38,190121.55,0,970,
87,959,6,309837.2,201910.22,186767.19,50,859,
88,960,6,309795.72,197545.64,192528.5,123,793,
89,966,5,309838.84,207787.86,185197.6,256,923,
90,970,5,309497.3,202157.6,190365.88,188,1051,
91,971,6,309668.16,196326.88,190993.5,86,1035,
92,977,5,310138.12,207863.11,185281.8,199,966,
93,984,6,309859.75,204236.58,186001.83,209,799,
94,991,6,309330.12,207690.16,185012.52,0,966,
95,1008,5,309810.97,198621.1,190360.92,281,1023,
96,1013,5,309902.9,200211.69,190466.1,306,1141,
97,1020,6,309910.8,196012.72,189626.16,129,1035,
98,1021,5,310087.06,200834.94,187694.17,298,859,post
99,1023,5,309906.0,198926.56,190303.5,280,1013,post
100,1035,5,310023.72,196528.61,190033.72,293,1008,post
101,1040,6,309929.75,208074.78,185692.19,56,1062,
102,1042,6,309717.72,210063.23,185710.61,0,1079,
103,1049,6,310050.2,201186.9,188074.44,0,1021,
104,1051,5,309868.12,201974.31,190555.92,194,1141,
105,1062,5,310209.8,207516.55,185397.38,132,977,
106,1077,6,310042.5,207312.2,185651.58,79,1062,
107,1079,5,310173.44,209739.08,185352.5,208,977,
108,1088,6,309870.34,203089.64,187838.92,63,1175,
109,1089,6,310450.88,199704.7,191075.14,94,1013,
110,1102,5,310439.8,200223.55,187908.92,321,1021,post
111,1116,6,310618.75,200139.88,188156.66,52,1102,
112,1129,5,310842.12,204012.05,186901.47,283,799,
113,1131,6,310651.75,202235.66,188475.38,41,943,
114,1132,6,310773.9,203783.17,185937.47,90,1129,
115,1141,5,310438.06,201607.17,190311.3,276,1176,
116,1158,5,311047.53,203666.56,187399.97,194,1129,
117,1175,5,310943.12,203405.56,187603.05,171,1158,
118,1176,5,311423.12,203119.81,187744.83,205,1175,
119,1186,6,311081.8,204343.81,187644.53,94,1158,
120,1195,6,311525.1,200401.33,188739.17,89,943,
121,1201,6,311236.8,211112.47,183029.75,83,1079,
